"albumName";"albumMBID";"albumSpotID";"artistSpotID";"year"
"The Eternal Idol (Deluxe Edition)";"NULL";"4ge3G6ccl2IU8n6UAI9W1K";"5M52tdBnJaKSvOpJGz8mfZ";"1987"
"The Original";"4f205ba6-efcc-43f9-b8ed-0f3cc3c4d89c";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"The Rules of Hell";"NULL";"2qVpEaXNWeD10oJzSPVkpv";"5M52tdBnJaKSvOpJGz8mfZ";"2008"
"The Sabbath Collection";"9038abb0-ba8d-4d69-854b-9a4714400905";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"The Ultimate Collection";"NULL";"6TcPqftScGmR0aEgIb43Vv";"5M52tdBnJaKSvOpJGz8mfZ";"2017"
"The Ultimate Collection";"NULL";"1mDCh37cVQHLjD6e27Id4x";"5M52tdBnJaKSvOpJGz8mfZ";"2016"
"Tyr";"76c9d8e9-1b81-32a6-ae7f-a9c14ca21c93";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
"Vol. 4 (2009 Remastered Version)";"NULL";"3iRW4cZOM90lX9Rtc2Qglh";"5M52tdBnJaKSvOpJGz8mfZ";"1972"
"Vol. 4 (Remastered Edition)";"257c6df7-26b8-4283-908a-3e625e41cdbe";"3zNcigR9hAceoTJphnxg6f";"5M52tdBnJaKSvOpJGz8mfZ";"1972"
"Volume 4";"NULL";"2Z3p5liFBLfx5SXRVFkygy";"5M52tdBnJaKSvOpJGz8mfZ";"1972"
"We Sold Our Soul for Rock 'n' Roll";"002e0056-22a5-45c6-9804-6e3eab21e660";NULL;"5M52tdBnJaKSvOpJGz8mfZ";NULL
